Name	        Accession	RPM	Chrmsm	Start	          End	      Strand Confidence
hsa-mir-6788	MI0022633	15	chr18	10759584	10759649	-	-
hsa-mir-6789	MI0022634	10	chr19	2235829 	2235926 	-	-
hsa-mir-6790	MI0022635	6	chr19	6392921 	6392983 	-	-
hsa-mir-6791	MI0022636	7	chr19	6736712 	6736778 	-	High
hsa-mir-6792	MI0022637	2	chr19	7617439 	7617505 	+	-
hsa-mir-6793	MI0022638	17	chr19	10828973	10829035	+	High
hsa-mir-6794	MI0022639	9	chr19	12852260	12852327	+	-
hsa-mir-6795	MI0022640	3	chr19	15179283	15179350	-	-
hsa-mir-6796	MI0022641	6	chr19	40369846	40369907	+	-
hsa-mir-6797	MI0022642	35	chr19	41869627	41869698	+	-
hsa-mir-6798	MI0022643	15	chr19	49009906	49009972	+	-
hsa-mir-6799	MI0022644	9	chr19	49791866	49791934	+	-
hsa-mir-6800	MI0022645	22	chr19	49832018	49832099	+	-
hsa-mir-6801	MI0022646	8	chr19	52222020	52222098	+	-
hsa-mir-6802	MI0022647	26	chr19	55239912	55239976	-	High
hsa-mir-6803	MI0022648	33	chr19	55245186	55245250	-	Low
hsa-mir-6804	MI0022649	5	chr19	55230885	55230952	-	-
hsa-mir-6805	MI0022650	13	chr19	55388181	55388242	+	-
hsa-mir-6806	MI0022651	9	chr19	58334688	58334751	+	-
hsa-mir-6807	MI0022652	41	chr19	58550285	58550376	+	High
hsa-mir-6808	MI0022653	3	chr1	1339650 	1339708 	-	-
hsa-mir-6809	MI0022654	36	chr2	217900513	217900628	-	-
hsa-mir-6810	MI0022655	11	chr2	218341911	218341980	+	-
hsa-mir-6811	MI0022656	9	chr2	237510931	237510988	+	-
hsa-mir-6812	MI0022657	17	chr20	45425510	45425573	+	-
hsa-mir-6813	MI0022658	5	chr20	64076955	64077010	-	-
hsa-mir-6814	MI0022659	5	chr21	41746772	41746841	-	-
hsa-mir-6815	MI0022660	35	chr21	45478266	45478326	+	-
hsa-mir-6816	MI0022661	12	chr22	20114686	20114751	-	-
hsa-mir-6817	MI0022662	6	chr22	25455646	25455711	+	-
hsa-mir-6818	MI0022663	21	chr22	30007049	30007113	+	-
hsa-mir-6819	MI0022664	5	chr22	36286847	36286907	-	-
hsa-mir-6820	MI0022665	29	chr22	37967563	37967624	+	High
hsa-mir-6821	MI0022666	14	chr22	49962866	49962939	+	-
hsa-mir-6822	MI0022667	7	chr3	39138206	39138266	+	-
hsa-mir-6823	MI0022668	8	chr3	48549961	48550021	-	-
hsa-mir-6824	MI0022669	6	chr3	48633636	48633698	-	-
hsa-mir-6825	MI0022670	14	chr3	127575266	127575331	-	-
hsa-mir-6826	MI0022671	12	chr3	129272146	129272243	+	-
hsa-mir-6827	MI0022672	9	chr3	134367804	134367862	-	-
hsa-mir-6828	MI0022673	1	chr3	170423103	170423162	+	-
hsa-mir-6829	MI0022674	9	chr3	195882329	195882395	-	-
hsa-mir-6830	MI0022675	2	chr5	132217849	132217918	-	-
hsa-mir-6831	MI0022676	4	chr5	140563671	140563751	-	-
hsa-mir-6832	MI0022677	27	chr6	31633787	31633858	+	-
hsa-mir-6833	MI0022678	26	chr6	32179816	32179876	+	High
hsa-mir-6834	MI0022679	12	chr6	33290245	33290325	+	High
hsa-mir-6835	MI0022680	5	chr6	34240673	34240736	+	-
hsa-mir-6780b	MI0022681	8	chr6	43434542	43434620	+	-
hsa-mir-6836	MI0022682	7	chr7	2257515 	2257577 	-	-
hsa-mir-6837	MI0022683	10	chr7	44051766	44051829	+	High
hsa-mir-6838	MI0022684	7	chr7	44073378	44073433	-	-
hsa-mir-6839	MI0022685	33	chr7	64679064	64679176	+	-
hsa-mir-6840	MI0022686	17	chr7	100356651	100356721	+	High
hsa-mir-6841	MI0022687	5	chr8	24953796	24953867	-	-
hsa-mir-6842	MI0022688	11	chr8	27433370	27433434	+	High
hsa-mir-6843	MI0022689	26	chr8	27610601	27610751	-	-
hsa-mir-6844	MI0022690	8	chr8	124508515	124508576	-	-
hsa-mir-6845	MI0022691	7	chr8	143837756	143837816	-	-
hsa-mir-6846	MI0022692	3	chr8	144057321	144057380	-	-
hsa-mir-6847	MI0022693	15	chr8	144079874	144079942	+	-
hsa-mir-6848	MI0022694	9	chr8	144317246	144317315	-	-
hsa-mir-6849	MI0022695	3	chr8	144400277	144400345	-	-
hsa-mir-6850	MI0022696	12	chr8	144791931	144791991	-	-
hsa-mir-6851	MI0022697	13	chr9	33467869	33467935	-	-
hsa-mir-6852	MI0022698	19	chr9	35710676	35710741	-	-
hsa-mir-6853	MI0022699	2	chr9	35732922	35732995	+	-
hsa-mir-6854	MI0022700	13	chr9	98229149	98229217	-	-
hsa-mir-6855	MI0022701	15	chr9	129869605	129869671	+	High
hsa-mir-6856	MI0022702	240	chr9	130626297	130626363	+	-
hsa-mir-6857	MI0022703	8	chrX	53405673	53405765	-	-
hsa-mir-6858	MI0022704	55	chrX	154450320	154450386	+	-
hsa-mir-6859-1	MI0022705	24	chr1	17369   	17436   	-	-
hsa-mir-6769b	MI0022706	5	chr1	206474803	206474864	+	-
hsa-mir-6860	MI0022707	11	chr11	67045643	67045708	+	-
hsa-mir-6861	MI0022708	4	chr12	112163258	112163321	-	-
hsa-mir-6862-1	MI0022709	17	chr16	28390982	28391051	-	-
hsa-mir-6863	MI0022710	5	chr16	56904264	56904353	+	-
hsa-mir-6864	MI0022711	7	chr17	4969702  	4969771 	-	-
hsa-mir-6865	MI0022712	10	chr17	4970086 	4970150 	-	-
hsa-mir-6866	MI0022713	22	chr17	40161933	40162001	+	-
hsa-mir-6867	MI0022714	6	chr17	40193597	40193663	+	-
hsa-mir-6868	MI0022715	5	chr17	76098019	76098076	-	-
hsa-mir-6869	MI0022716	7	chr20	1392900 	1392961 	-	-
hsa-mir-6870	MI0022717	4	chr20	10649636	10649695	-	-
hsa-mir-6871	MI0022718	11	chr20	41169023	41169078	+	-
hsa-mir-6872	MI0022719	2	chr3	50273236	50273297	+	-
hsa-mir-6873	MI0022720	15	chr6	33287227	33287289	-	-
hsa-mir-6874	MI0022721	7	chr7	5711840 	5711910 	-	-
hsa-mir-6875	MI0022722	17	chr7	100868036	100868107	+	-
hsa-mir-6876	MI0022723	13	chr8	25345402	25345474	+	-
hsa-mir-6877	MI0022724	28	chr9	133051996	133052059	+	-
hsa-mir-6878	MI0022725	7	chr1	150492345	150492410	+	-
hsa-mir-6879	MI0022726	14	chr11	65018505	65018570	+	-
hsa-mir-6880	MI0022727	5	chr12	124337181	124337242	-	-
hsa-mir-6881	MI0022728	5	chr15	74411357	74411432	-	-
hsa-mir-6882	MI0022729	94	chr15	74840642	74840707	-	-
hsa-mir-6883	MI0022730	14	chr17	8144994 	8145071 	-	-
hsa-mir-6884	MI0022731	15	chr17	40026332	40026409	-	-
hsa-mir-6885	MI0022732	17	chr19	6389638 	6389703 	-	-
hsa-mir-6886	MI0022733	9	chr19	11113474	11113534	+	-
hsa-mir-6887	MI0022734	11	chr19	35122700	35122764	+	-
hsa-mir-6888	MI0022735	4	chr2	159186835	159186901	+	-
hsa-mir-6889	MI0022736	5	chr22	41252992	41253050	-	-
hsa-mir-6890	MI0022737	9	chr3	49099854	49099914	-	-
hsa-mir-6891	MI0022738	304	chr6	31355224	31355316	-	-
hsa-mir-6892	MI0022739	23	chr7	143382686	143382800	+	-
hsa-mir-6893	MI0022740	5	chr8	144435551	144435619	-	-
hsa-mir-6894	MI0022741	16	chrX	53198889	53198945	-	-
hsa-mir-6895	MI0022742	6	chrX	53195411	53195488	-	-
hsa-mir-7106	MI0022957	4	chr12	113159113	113159177	-	-
hsa-mir-7107	MI0022958	1	chr12	121444273	121444352	-	-
hsa-mir-7108	MI0022959	20	chr19	2434914 	2435000 	-	-
hsa-mir-7109	MI0022960	5	chr22	31621467	31621531	-	-
hsa-mir-7110	MI0022961	1237	chr3	123161794	123161879	+	-
hsa-mir-7111	MI0022962	11	chr6	35470508	35470579	+	High
hsa-mir-7112	MI0022963	24	chr8	144262673	144262737	-	-
hsa-mir-7113	MI0022964	13	chr11	68032864	68032922	+	-
hsa-mir-7114	MI0022965	13	chr9	137450026	137450086	-	-
hsa-mir-6511b-2	MI0023431	65	chr16	15134075	15134145	-	-
hsa-mir-3690-2	MI0023561	19	chrY	1293918 	1293992 	+	-
hsa-mir-6089-2	MI0023563	2	chrY	2609191 	2609254 	+	-
hsa-mir-6511a-2	MI0023564	68	chr16	16324588	16324654	+	High
hsa-mir-6511a-3	MI0023565	68	chr16	16368876	16368942	+	High
hsa-mir-6511a-4	MI0023566	68	chr16	18344013	18344079	-	High
hsa-mir-7150	MI0023610	0	chr9	123485529	123485622	-	-
hsa-mir-7151	MI0023611	2	chr10	67403351	67403410	-	-
hsa-mir-7152	MI0023612	3	chr10	71790747	71790800	+	-
hsa-mir-7153	MI0023613	42	chr18	11654885	11654941	-	-
hsa-mir-7154	MI0023614	34	chr11	45691704	45691776	-	High
hsa-mir-7155	MI0023615	2	chr11	64341849	64341904	-	-
hsa-mir-7156	MI0023616	2	chr1	77060143	77060202	+	-
hsa-mir-7157	MI0023617	5	chr2	140586626	140586685	-	-
hsa-mir-7158	MI0023618	5	chr2	5974662 	5974732 	+	-
hsa-mir-7161	MI0023619	632	chr6	158609707	158609790	+	High
hsa-mir-7159	MI0023620	165	chr6	33899135	33899200	+	-
hsa-mir-7160	MI0023621	3	chr8	2076589 	2076640 	+	-
hsa-mir-486-2	MI0023622	1403	chr8	41660444	41660507	+	High
hsa-mir-7162	MI0023623	19	chr10	30368597	30368665	-	-
hsa-mir-7515	MI0024354	1	chr2	6650373 	6650439 	+	-
hsa-mir-7702	MI0025238	3	chr9	111271156	111271214	-	-
hsa-mir-7703	MI0025239	1	chr14	24143489	24143565	-	-
hsa-mir-7704	MI0025240	66	chr2	176188843	176188901	+	-
hsa-mir-7705	MI0025241	61	chr8	100702968	100703024	-	-
hsa-mir-7706	MI0025242	60	chr15	85380596	85380662	+	-
hsa-mir-7843	MI0025510	1	chr14	72516820	72516898	+	-
hsa-mir-4433b	MI0025511	10	chr2	64340747	64340848	-	High
hsa-mir-1273h	MI0025512	173	chr16	24203116	24203231	+	Low
hsa-mir-6516	MI0025513	91	chr17	77089417	77089497	+	-
hsa-mir-7844	MI0025514	4	chr12	94571231	94571352	-	-
hsa-mir-7845	MI0025515	83	chr2	207166400	207166498	+	-
hsa-mir-7846	MI0025516	57	chr1	12166943	12167038	+	-
hsa-mir-7847	MI0025517	9	chr11	1880045 	1880147 	+	-
hsa-mir-7848	MI0025518	1	chr8	133046481	133046581	-	-
hsa-mir-7849	MI0025519	1	chr4	146408583	146408688	+	-
hsa-mir-7850	MI0025520	5	chr19	2630715 	2630793 	+	-
hsa-mir-7851	MI0025521	1553	chr12	42323700	42323859	-	Low
hsa-mir-7852	MI0025522	4	chr1	107897223	107897304	+	-
hsa-mir-7853	MI0025523	0	chr6	6169304 	6169435 	-	-
hsa-mir-7854	MI0025524	19	chr16	81533902	81533966	+	-
hsa-mir-7855	MI0025525	1	chr14	64785626	64785686	-	-
hsa-mir-7856	MI0025526	0	chr1	86357632	86357687	-	-
hsa-mir-548ba	MI0025747	56	chr2	49059603	49059658	+	-
hsa-mir-7973-1	MI0025748	2	chr15	51314034	51314109	+	-
hsa-mir-7973-2	MI0025749	0	chr15	51314032	51314107	-	-
hsa-mir-7974	MI0025750	120	chr19	11495544	11495622	-	-
hsa-mir-7975	MI0025751	7	chr19	55123225	55123292	-	-
hsa-mir-7976	MI0025752	51	chr3	127587111	127587176	-	-
hsa-mir-7977	MI0025753	3	chr3	176515103	176515151	+	-
hsa-mir-7978	MI0025754	14	chr4	21464700	21464758	-	-
hsa-mir-8052	MI0025888	0	chr11	130666735	130666803	+	-
hsa-mir-8053	MI0025889	0	chr4	47652669	47652743	+	-
hsa-mir-8054	MI0025890	0	chr11	23419105	23419190	-	-
hsa-mir-8055	MI0025891	0	chr8	6622124 	6622220 	-	-
hsa-mir-8056	MI0025892	0	chr5	173347455	173347536	+	-
hsa-mir-8057	MI0025893	2	chr18	26591467	26591535	-	-
hsa-mir-8058	MI0025894	0	chr16	82688931	82689019	+	-
hsa-mir-8059	MI0025895	0	chr17	50768650	50768730	+	-
hsa-mir-8060	MI0025896	0	chr3	96359964	96360039	+	-
hsa-mir-8061	MI0025897	0	chr19	54645309	54645383	+	-
hsa-mir-8062	MI0025898	0	chr20	7371608 	7371692 	+	-
hsa-mir-8063	MI0025899	0	chr15	36972821	36972901	-	-
hsa-mir-8064	MI0025900	0	chr3	52846463	52846552	-	-
hsa-mir-8065	MI0025901	0	chr16	5632467 	5632566 	+	-
hsa-mir-8066	MI0025902	1	chr4	101240795	101240872	-	-
hsa-mir-8067	MI0025903	0	chr15	62304658	62304734	-	-
hsa-mir-8068	MI0025904	-	chr11	28477481	28477548	-	-
hsa-mir-8069-1	MI0025905	0	chr21	6859171 	6859256 	+	-
hsa-mir-8070	MI0025906	0	chr11	11783135	11783222	-	-
hsa-mir-8071-1	MI0025907	1	chr14	105621116	105621180	+	-
hsa-mir-8072	MI0025908	74	chr12	123364764	123364843	-	-
hsa-mir-8073	MI0025909	0	chr13	110340958	110341029	+	-
hsa-mir-8074	MI0025910	0	chr19	51206929	51207009	-	-
hsa-mir-8075	MI0025911	3	chr13	113262920	113262999	+	-
hsa-mir-8076	MI0025912	0	chr3	113432118	113432200	-	-
hsa-mir-8077	MI0025913	0	chr19	42351131	42351205	+	-
hsa-mir-8078	MI0025914	0	chr18	112256  	112339  	-	-
hsa-mir-8079	MI0025915	1	chr13	44196129	44196200	-	-
hsa-mir-8080	MI0025916	0	chr2	79866495	79866583	-	-
hsa-mir-8081	MI0025917	0	chr9	106600928	106601022	+	-
hsa-mir-8082	MI0025918	0	chr4	113152282	113152362	+	-
hsa-mir-8083	MI0025919	0	chr1	153689705	153689793	-	-
hsa-mir-8084	MI0025920	0	chr8	93029751	93029839	+	-
hsa-mir-8085	MI0025921	2	chr19	44758657	44758721	+	-
hsa-mir-8086	MI0025922	1262	chr10	28289258	28289350	-	-
hsa-mir-8087	MI0025923	0	chr11	27514970	27515047	-	-
hsa-mir-8088	MI0025924	0	chrX	52336557	52336642	-	-
hsa-mir-8089	MI0025925	0	chr5	181043403	181043484	-	-
hsa-mir-6862-2	MI0026415	17	chr16	28724252	28724321	+	-
hsa-mir-8071-2	MI0026417	1	chr14	105640168	105640232	+	-
hsa-mir-6770-2	MI0026418	33	chr16	16329305	16329364	+	High
hsa-mir-6770-3	MI0026419	33	chr16	18379351	18379410	-	High
hsa-mir-6859-2	MI0026420	24	chr1	187891  	187958  	-	-
hsa-mir-6859-3	MI0026421	24	chr15	101973524	101973591	+	-
hsa-mir-8485	MI0027288	36534	chr2	50696172	50696262	-	-
hsa-mir-9500	MI0029185	0	chr2	218823090	218823154	+	-
hsa-mir-548bb	MI0029321	3	chr3	60617805	60617870	-	-
hsa-mir-9718	MI0030983	0	chr14	60648648	60648711	+	-
hsa-mir-3179-4	MI0031510	25	chr16	18494493	18494576	-	-
hsa-mir-1244-4	MI0031511	16	chr12	12111952	12112036	+	-
hsa-mir-3648-2	MI0031512	1047	chr21	8986999 	8987178 	+	Low
hsa-mir-3670-3	MI0031513	1	chr16	18405698	18405762	-	-
hsa-mir-3670-4	MI0031514	1	chr16	18488301	18488365	-	-
hsa-mir-6724-2	MI0031516	45	chr21	8249505 	8249596 	+	-
hsa-mir-6724-3	MI0031517	45	chr21	8388362 	8388453 	+	-
hsa-mir-6724-4	MI0031518	45	chr21	8432530 	8432621 	+	-
hsa-mir-8069-2	MI0031519	0	chr21	13724189	13724274	+	-
hsa-mir-941-5	MI0031520	247	chr20	63919868	63919939	+	High
hsa-mir-6859-4	MI0031521	24	chr16	17052   	17119   	-	-
hsa-mir-5701-3	MI0031522	5	chr15	21951242	21951323	+	-
hsa-mir-9898	MI0031826	1	chr12	52898889	52898984	-	-
hsa-mir-9899	MI0031827	16	chr2	149330278	149330373	-	-
hsa-mir-9900	MI0031828	11	chr3	112737089	112737181	+	-
hsa-mir-9901	MI0031829	52	chr16	34163578	34163673	+	-
hsa-mir-9902-1	MI0031830	435	chr12	122695907	122695999	-	-
hsa-mir-9903	MI0031831	60	chr8	98393645	98393738	-	High
hsa-mir-9985	MI0032313	9	chrY	4606120 	4606228 	+	-
hsa-mir-1843	MI0032314	74	chr1	175968370	175968479	-	-
hsa-mir-548bc	MI0032315	21	chr17	39297400	39297509	+	-
hsa-mir-9986	MI0032316	1	chr2	132433711	132433820	+	-
hsa-mir-10226	MI0033056	0	chr17	48032882	48032951	+	-
hsa-mir-10392	MI0033416	68	chr11	64878523	64878609	-	-
hsa-mir-10393	MI0033417	22	chr15	44717844	44717893	+	-
hsa-mir-10394	MI0033418	31	chr19	58393364	58393446	+	-
hsa-mir-10395	MI0033419	155	chr19	12703601	12703664	-	Low
hsa-mir-10396a	MI0033420	134	chr21	8987617 	8987665 	+	-
hsa-mir-10397	MI0033421	1	chr5	10402364	10402431	+	-
hsa-mir-10398	MI0033422	20	chr6	41733554	41733610	-	-
hsa-mir-10399	MI0033423	102	chr7	139044100	139044157	-	-
hsa-mir-10400	MI0033424	47	chr8	144462485	144462539	-	-
hsa-mir-10401	MI0033425	3385	chr21	8206563 	8206618 	+	Low
hsa-mir-10396b	MI0033426	174	chr21	8436324 	8436374 	+	-
hsa-mir-10522	MI0033668	2	chr5	17155930	17155992	-	-
hsa-mir-10523	MI0033669	12	chr5	172915083	172915158	+	-
hsa-mir-9983	MI0033670	25	chr6	39074314	39074381	+	-
hsa-mir-10524	MI0033671	2	chr6	78539263	78539309	-	-
hsa-mir-10525	MI0033672	1	chr7	74595968	74596026	+	-
hsa-mir-10526	MI0033673	14	chr11	122152103	122152156	-	-
hsa-mir-10527	MI0033674	51	chr12	63823663	63823727	+	-
hsa-mir-11181	MI0035972	0	chr15	87946206	87946268	-	-
hsa-mir-11399	MI0036558	0	chr1	112882050	112882129	+	-
hsa-mir-11400	MI0036559	1	chr7	142474527	142474603	+	-
hsa-mir-11401	MI0036560	0	chr16	87853896	87853964	+	-
hsa-mir-3059	MI0039499	118	chr12	86745068	86745149	-	High
hsa-mir-3085	MI0039500	11	chr10	97875813	97875897	-	High
hsa-mir-6529	MI0039501	0	chr3	120084564	120084648	-	-
hsa-mir-9851	MI0039502	0	chr10	116827488	116827568	-	-
hsa-mir-12113	MI0039715	3	chr4	11783178	11783248	+	-
hsa-mir-12114	MI0039716	17	chr22	50407442	50407524	+	-
hsa-mir-12115	MI0039717	0	chr4	22515312	22515385	+	-
hsa-mir-12116	MI0039718	0	chr1	179803924	179804025	+	-
hsa-mir-12117	MI0039719	0	chr9	33108692	33108765	+	-
hsa-mir-12118	MI0039720	1	chr5	173303730	173303817	+	-
hsa-mir-12119	MI0039721	1	chr7	99409172	99409264	+	-
hsa-mir-12120	MI0039722	1	chrY	13479177	13479266	+	-
hsa-mir-12121	MI0039723	97	chr14	104865314	104865411	+	-
hsa-mir-12122	MI0039724	0	chr20	49863859	49863953	+	-
hsa-mir-12123	MI0039725	0	chr8	79332188	79332274	+	-
hsa-mir-12124	MI0039726	3	chr3	128846808	128846908	+	-
hsa-mir-12125	MI0039727	5	chr5	168165845	168165929	+	-
hsa-mir-12126	MI0039728	0	chr9	130241387	130241488	+	-
hsa-mir-12127	MI0039729	6	chr3	10280351	10280452	+	-
hsa-mir-12128	MI0039730	0	chr16	85207796	85207895	+	-
hsa-mir-12129	MI0039731	1	chrX	153335462	153335537	+	-
hsa-mir-12130	MI0039732	2	chr5	116255743	116255834	+	-
hsa-mir-12131	MI0039733	8	chr6	151102675	151102776	+	-
hsa-mir-12132	MI0039734	1	chr1	61846075	61846176	+	-
hsa-mir-12133	MI0039735	1	chr1	94543702	94543779	+	-
hsa-mir-12135	MI0039739	5	chr15	73299910	73299979	+	-
hsa-mir-12136	MI0039740	1713	chr1	632615 	          632685	-	Low
hsa-mir-9902-2	MI0041071	435	chr12	122709332	122709424	-	-
